,Net,A,V,W,type,obj,t,RG,n,g
0,NYC,3137,1351,8658,system-centric,656913.8218546724,245.661346041,0.012314412174340934,,
1,NYC,3137,1351,8658,user-centric,703634.5022589284,234.670090089,0.025691307303169323,,
2,NYC,3137,1351,8658,CARS2-LP,1576638.382747914,49.44644904136658,,2.0,4.0
3,NYC,3137,1351,8658,CARS2-QP,810355.0606604763,36.73623299598694,,2.0,4.0
4,NYC,3137,1351,8658,CARS3-LP,1003032.6526820714,67.40565085411072,,3.0,4.0
5,NYC,3137,1351,8658,CARS3-QP,724700.7460682235,46.28070020675659,,3.0,4.0
6,NYC,3137,1351,8658,CARS4-LP,723448.5161556386,102.88730096817017,,4.0,4.0
7,NYC,3137,1351,8658,CARS4-QP,661541.4024801806,73.11304688453674,,4.0,4.0
8,NYC,3137,1351,8658,CARS5-LP,678472.3156957777,111.36205792427063,,5.0,4.0
9,NYC,3137,1351,8658,CARS5-QP,650302.7545647728,96.51518106460571,,5.0,4.0
10,NYC,3137,1351,8658,CARS6-LP,667080.5956964433,117.29549098014832,,6.0,4.0
11,NYC,3137,1351,8658,CARS6-QP,646409.4885576477,101.74051189422607,,6.0,4.0
12,NYC,3137,1351,8658,CARS7-LP,653628.1357307557,108.51802897453308,,7.0,4.0
13,NYC,3137,1351,8658,CARS7-QP,641942.5922242033,82.34664797782898,,7.0,4.0
14,NYC,3137,1351,8658,CARS8-LP,651221.7771613515,110.68816900253296,,8.0,4.0
15,NYC,3137,1351,8658,CARS8-QP,641703.3502462725,72.80675196647644,,8.0,4.0
