,Net,A,V,W,type,obj,t,n,g
0,EMA_mid,258,74,1113,CARS2-LP,33892.514049022124,0.06384110450744629,2,1
1,EMA_mid,258,74,1113,CARS2-QP,29503.457236607956,0.13872003555297852,2,1
2,EMA_mid,258,74,1113,CARS3-LP,30369.125741408192,0.06569886207580566,3,1
3,EMA_mid,258,74,1113,CARS3-QP,28998.903686009548,0.17885708808898926,3,1
4,EMA_mid,258,74,1113,CARS4-LP,28017.53286856417,0.07768988609313965,4,1
5,EMA_mid,258,74,1113,CARS4-QP,27946.860408480108,0.22271990776062012,4,1
6,EMA_mid,258,74,1113,CARS5-LP,27718.79660271696,0.08716201782226562,5,1
7,EMA_mid,258,74,1113,CARS5-QP,27917.19105791329,0.26065707206726074,5,1
8,EMA_mid,258,74,1113,CARS6-LP,28503.054212938823,0.09871101379394531,6,1
9,EMA_mid,258,74,1113,CARS6-QP,28229.646177266644,0.25103306770324707,6,1
10,EMA_mid,258,74,1113,CARS7-LP,28253.47461034789,0.10441303253173828,7,1
11,EMA_mid,258,74,1113,CARS7-QP,28163.334269470066,0.2087268829345703,7,1
12,EMA_mid,258,74,1113,CARS8-LP,28111.413465528585,0.10964488983154297,8,1
13,EMA_mid,258,74,1113,CARS8-QP,28120.861321417367,0.292039155960083,8,1
14,EMA_mid,258,74,1113,CARS9-LP,28284.247393347545,0.12347197532653809,9,1
15,EMA_mid,258,74,1113,CARS9-QP,28285.39583398233,0.31169795989990234,9,1
16,EMA_mid,258,74,1113,CARS10-LP,28273.800108944986,0.12864995002746582,10,1
17,EMA_mid,258,74,1113,CARS10-QP,28274.94854951536,0.33064794540405273,10,1
